	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
AK171183	0.92	0.36	0.82	0.85	0.09	0.39	0.30	0.86	0.76	0.50	0.12	0.02	0.31	0.58	0.02	0.20	0.45	0.39	0.30	0.50	0.48	0.98	0.08	0.85	0.01	0.99	0.19	0.75	0.08	0.18	0.86	0.07	0.67	0.33	0.67	0.63	0.79	0.94	0.67	0.96	0.11	0.62	0.15	0.88	0.26	0.85	0.52	0.79	0.89	0.18	0.28	0.38	0.07	0.95	0.10	0.01	0.43	0.47	0.25	0.52	0.97	0.46	0.98	0.71	0.66
USP45	0.41	0.67	0.43	0.93	0.57	0.71	0.38	0.67	0.07	0.69	0.44	0.83	0.53	0.73	0.05	0.44	0.27	0.40	0.68	0.52	0.37	0.62	0.34	0.02	0.59	0.46	0.63	0.39	0.68	0.72	0.11	0.68	0.95	0.34	0.48	0.76	0.45	0.88	0.37	0.81	0.91	0.66	0.07	0.45	0.22	0.26	0.54	0.48	0.00	0.23	0.66	0.59	0.64	0.70	0.74	0.05	0.04	0.60	0.49	0.23	0.17	0.94	0.18	0.74	0.11
MAP3K7	0.27	0.57	0.03	0.99	0.16	0.10	0.68	0.32	0.44	0.67	0.10	0.57	0.56	0.33	0.45	0.35	0.46	0.72	0.38	0.78	0.22	0.05	0.95	0.31	0.44	0.65	0.03	0.16	0.18	0.17	0.04	0.19	0.39	0.68	0.95	0.67	0.08	0.92	0.53	0.73	0.11	0.39	0.44	0.90	0.56	0.24	0.64	0.59	0.75	0.18	0.44	0.69	0.97	0.01	0.70	0.41	0.86	0.84	0.48	0.83	0.52	0.24	0.06	0.21	0.84
RNGTT	0.65	0.78	0.04	0.71	0.60	0.16	0.19	0.39	0.88	0.67	0.31	0.45	0.74	0.67	0.52	0.33	0.06	0.34	0.79	0.17	0.34	0.47	0.80	0.67	0.60	0.42	0.92	0.21	0.84	0.05	0.59	0.32	0.40	0.23	0.11	0.12	0.57	0.32	0.21	0.44	0.32	0.70	0.65	0.17	0.63	0.13	0.82	0.97	0.79	0.96	0.80	0.24	0.00	0.31	0.09	0.12	0.96	0.23	0.42	0.90	0.65	0.89	0.86	0.46	0.38
MOBKL2B	0.63	0.07	0.13	0.43	0.96	0.80	0.49	0.27	0.84	0.64	0.95	0.29	0.75	0.52	0.50	0.13	0.98	0.30	0.40	0.05	0.50	0.46	0.26	0.00	0.63	0.13	0.02	0.82	0.90	0.70	0.66	0.31	0.50	0.22	0.85	0.10	0.78	0.97	0.74	0.24	0.96	0.12	0.13	0.36	0.14	0.52	0.53	0.10	0.87	0.80	0.12	0.44	0.24	0.97	0.54	0.27	0.74	0.51	0.96	0.70	0.35	0.21	0.84	0.81	0.33
APTX	0.20	0.26	0.00	0.32	0.77	0.82	0.67	0.77	0.61	0.21	0.30	0.45	0.36	0.33	0.68	0.75	0.51	0.65	0.25	0.09	0.91	0.43	0.01	0.58	0.99	0.42	0.41	0.69	0.77	0.59	1.00	0.67	0.89	0.23	0.52	0.55	0.65	0.84	0.27	0.22	0.54	0.91	0.26	0.79	0.67	0.64	0.93	0.73	0.49	0.01	0.66	0.65	0.03	0.16	0.99	0.21	0.82	0.67	0.41	0.21	0.28	0.55	0.98	0.12	0.61
AQP7	0.06	0.38	0.75	0.37	0.89	0.42	0.47	0.76	0.50	0.31	0.60	0.60	0.77	0.59	0.73	0.66	0.11	0.92	0.15	0.32	0.14	0.50	0.00	0.98	0.33	0.36	0.16	0.20	0.27	0.34	0.55	0.89	0.03	0.14	0.43	0.03	0.37	0.22	0.75	0.75	0.66	0.31	0.21	0.03	0.13	0.35	0.65	0.28	0.53	0.53	0.42	0.65	0.38	0.68	0.71	0.17	0.53	0.48	0.49	0.23	0.42	0.38	0.53	0.33	0.82
OSTM1	0.63	0.73	0.35	0.80	0.11	0.91	0.64	0.78	0.95	0.69	0.18	0.44	0.72	0.03	0.16	0.15	0.43	0.17	0.28	0.91	0.10	0.77	0.09	0.95	0.71	0.42	0.08	0.03	0.24	0.86	0.57	0.48	0.46	0.08	0.48	0.15	0.21	0.32	0.01	0.51	0.36	0.83	0.77	0.76	0.15	0.04	0.41	0.90	0.68	0.44	0.25	0.19	0.15	0.36	0.29	0.47	0.60	0.04	0.15	0.22	0.79	0.72	0.78	0.80	0.04
GM7819	0.26	0.99	0.54	0.64	0.07	0.76	0.28	0.55	0.78	0.99	0.25	0.07	0.15	0.21	0.19	0.45	0.42	0.08	0.41	0.73	0.86	0.26	0.65	0.74	0.15	0.32	0.38	0.52	0.31	0.08	0.47	0.58	0.70	0.81	0.18	0.20	0.80	0.13	0.45	0.04	0.37	0.97	0.76	0.34	0.67	0.10	0.21	0.52	0.31	0.21	0.17	0.70	0.29	0.43	0.38	0.63	0.91	0.38	0.74	0.31	0.04	0.24	0.96	0.06	0.96
TESK1	0.35	0.69	0.51	0.09	0.35	0.85	0.06	0.28	0.15	0.61	0.09	0.84	0.05	0.89	0.91	0.49	0.47	0.86	0.31	0.05	0.92	0.48	0.56	0.70	0.15	0.72	0.37	0.98	0.03	0.15	0.35	0.22	0.30	0.34	0.52	0.12	0.20	0.47	0.27	0.82	0.33	0.06	0.17	0.23	0.18	1.00	0.02	0.45	0.60	0.95	0.55	0.47	0.58	0.38	0.48	0.39	0.85	0.57	0.70	1.00	0.03	0.70	0.96	1.00	0.76
ATG5	0.81	0.34	0.98	0.31	0.64	0.61	0.68	0.37	0.75	0.35	0.81	0.56	0.65	0.53	0.03	0.52	0.99	0.87	0.41	0.23	0.38	0.71	0.07	0.13	0.62	0.25	0.39	0.57	0.55	0.33	0.25	0.17	0.50	0.21	0.31	0.34	0.96	0.97	0.84	0.04	0.14	0.17	0.71	0.93	0.45	0.78	0.59	0.08	0.02	0.70	0.82	0.87	0.21	0.47	0.84	0.17	0.00	0.03	0.89	0.39	0.36	0.81	0.15	0.90	0.01
EXOSC3	0.49	0.17	0.56	0.86	0.28	0.66	0.60	0.32	0.62	0.20	0.14	0.53	0.18	0.90	0.42	0.66	0.79	0.72	0.20	0.21	0.31	0.41	0.59	0.35	0.29	0.74	0.12	0.06	0.31	0.35	0.69	0.23	0.93	0.28	0.74	0.36	0.89	0.93	0.36	1.00	0.75	0.66	0.15	0.11	0.92	0.72	0.32	0.72	0.01	0.35	0.95	0.41	0.96	0.41	0.08	0.57	0.59	0.70	0.68	0.52	0.03	0.78	0.12	0.46	0.64
XPA	0.83	0.93	0.48	0.48	0.03	0.23	0.63	0.47	0.09	0.20	0.44	0.15	0.42	0.10	0.97	0.88	0.37	0.23	0.91	0.94	0.26	0.87	0.45	0.61	0.13	0.50	0.15	0.91	0.34	0.96	0.17	0.37	0.03	0.23	0.38	0.46	0.83	0.26	0.38	0.92	0.37	0.05	0.68	0.59	0.10	0.49	0.66	0.88	0.66	0.93	0.31	0.77	0.93	0.50	0.00	0.09	0.69	0.30	0.94	0.45	0.87	0.22	0.33	0.61	0.90
NR4A3	0.21	0.90	0.83	0.25	0.05	0.24	0.28	0.76	0.01	0.23	0.10	0.25	0.77	0.16	0.46	0.06	0.48	0.72	0.88	0.86	0.96	0.22	0.07	0.53	0.88	0.28	0.62	0.44	0.88	0.25	0.43	0.71	0.40	0.46	0.99	0.95	0.16	0.68	0.72	0.48	1.00	0.99	0.24	0.59	0.48	0.63	0.79	0.14	0.23	0.52	0.63	0.29	0.77	0.04	0.27	0.97	0.18	0.92	0.16	0.32	0.68	0.98	0.28	0.31	0.15
SMC2	0.80	0.85	0.37	0.74	0.37	0.98	0.61	0.76	0.39	0.07	0.95	0.55	0.68	0.77	0.06	0.30	0.11	0.47	0.63	0.92	0.94	0.75	0.04	0.55	0.65	0.18	0.62	0.45	0.96	0.14	0.76	0.51	0.65	0.27	0.80	0.87	0.23	0.53	0.40	0.26	0.86	0.49	0.77	0.62	0.87	0.55	0.58	0.50	0.29	0.94	0.65	0.45	0.51	0.28	0.55	0.74	0.88	0.41	0.02	0.77	0.24	0.05	0.06	0.64	0.30
ASCC3	0.43	0.90	0.65	0.08	0.77	0.19	0.11	0.16	0.42	0.81	0.08	0.75	0.91	0.53	0.75	0.50	0.69	0.76	0.36	0.45	0.76	0.02	0.31	0.83	0.24	0.17	0.74	0.51	0.93	0.68	0.82	0.25	0.40	0.10	0.57	0.98	0.64	0.78	0.38	0.62	0.47	0.89	0.75	0.07	0.27	0.80	0.81	0.07	0.07	0.95	0.28	0.61	0.78	0.38	0.98	0.04	0.28	0.65	0.61	0.86	0.05	0.65	0.56	0.28	0.69
AI314180	1.00	0.31	0.40	0.76	0.17	0.02	0.37	0.38	0.06	0.23	0.90	0.61	0.61	0.14	0.89	0.39	0.57	0.24	0.17	0.71	0.31	0.65	0.53	0.07	0.50	0.04	0.38	0.89	0.27	0.56	0.92	0.06	0.51	0.36	0.05	0.88	0.03	0.01	0.66	0.30	0.84	0.39	0.78	0.38	0.85	0.27	0.29	0.73	0.63	0.95	0.78	0.40	0.39	0.68	0.22	0.64	0.62	0.23	0.46	0.38	0.22	0.93	0.09	0.63	0.01
GOPC	0.83	0.74	0.60	0.99	0.73	0.81	0.13	0.32	0.17	0.77	0.25	0.46	0.95	0.36	0.82	0.62	0.76	0.24	0.71	0.10	0.12	0.84	0.48	0.95	0.37	0.70	0.73	0.54	0.76	0.62	0.70	0.41	0.27	0.95	0.66	0.51	0.27	0.01	0.46	0.68	0.14	0.49	0.28	0.08	0.17	0.12	0.54	0.79	0.05	0.47	0.40	0.31	0.74	0.27	0.81	0.66	0.14	0.22	0.80	0.59	0.08	0.03	0.56	0.25	0.08
AKNA	0.72	0.66	0.13	0.64	0.47	0.05	0.20	0.01	0.73	0.91	0.21	0.39	0.15	0.57	0.06	0.87	0.25	0.38	0.43	0.76	0.72	0.92	0.49	0.76	0.88	0.74	0.79	0.56	0.09	0.51	0.89	0.27	0.49	0.30	0.20	0.13	0.54	0.50	0.62	0.43	0.69	0.66	0.60	0.49	0.24	0.84	0.70	0.52	0.89	0.44	0.80	0.06	0.54	0.14	0.54	0.12	0.51	0.46	0.08	0.69	0.18	0.76	0.45	0.71	0.58
3110001D03RIK	0.07	0.56	0.74	0.63	0.68	0.49	0.86	0.82	0.42	0.32	0.69	0.96	0.84	0.59	0.42	0.04	0.38	0.91	0.91	0.45	0.79	0.94	0.75	0.83	0.58	0.64	0.86	0.14	0.29	0.08	0.84	0.74	0.68	0.42	0.77	0.87	0.68	0.43	0.31	0.54	0.69	0.85	0.46	0.51	0.70	0.79	0.39	0.78	0.99	0.95	0.50	0.55	0.89	0.97	0.76	0.91	0.50	0.95	0.17	0.26	0.26	0.43	0.51	0.98	0.46
ACER2	0.24	0.31	0.99	0.15	0.78	0.43	0.68	0.85	0.55	0.25	0.61	0.42	0.19	0.22	0.69	0.46	0.22	0.90	0.37	0.18	0.34	0.68	0.85	0.92	0.33	0.35	0.53	0.57	0.48	0.45	0.63	0.99	0.41	0.75	0.13	0.31	0.54	0.02	0.77	0.24	0.60	0.70	0.09	0.11	0.60	0.81	0.76	0.84	0.53	0.38	0.22	0.87	0.62	0.36	0.12	0.95	0.69	0.81	0.28	0.05	0.33	0.44	0.76	0.68	0.77
D630037F22RIK	0.21	0.75	0.64	0.60	0.86	0.52	0.11	0.49	0.35	0.21	0.33	0.01	0.46	0.14	0.64	0.83	0.27	0.55	0.97	0.97	0.51	0.62	0.42	0.78	0.59	0.45	0.94	0.38	0.80	0.71	0.61	0.02	0.14	0.45	0.06	0.66	0.87	0.46	0.20	0.34	0.10	0.77	0.46	0.92	0.21	0.49	0.38	0.52	0.95	0.97	0.25	0.09	0.53	0.27	0.58	0.84	0.79	0.49	0.24	0.94	0.68	0.48	0.83	0.43	0.97
PLAA	0.88	0.14	0.69	0.13	0.86	0.57	0.52	0.20	0.68	0.06	0.71	0.08	0.80	0.49	0.13	0.64	0.10	0.22	0.67	0.57	0.54	0.51	0.60	0.82	0.25	0.91	0.99	0.97	0.43	0.25	0.84	0.03	0.40	0.50	0.17	0.85	0.34	0.65	0.98	0.65	0.51	0.76	0.52	0.80	0.43	0.44	0.70	0.60	0.28	0.05	0.75	0.82	0.35	0.90	0.28	0.48	0.82	0.49	0.34	0.59	0.18	0.54	0.67	0.09	0.73
TM2D1	0.96	0.50	0.79	0.58	0.32	0.08	0.56	0.93	0.05	0.46	0.11	0.00	0.32	0.51	0.08	0.30	0.98	0.23	0.34	0.01	0.41	0.57	0.77	0.88	0.70	0.66	0.39	0.59	0.42	0.34	0.15	0.75	0.12	0.75	0.05	0.45	0.54	0.72	0.35	0.89	0.24	0.22	0.02	0.66	0.87	0.38	0.98	0.31	0.14	0.73	0.41	0.87	0.73	0.73	0.69	0.54	0.30	0.77	0.02	0.70	0.69	0.51	0.33	0.74	0.72
CCDC138	0.23	0.29	0.13	0.51	0.67	0.90	0.04	0.99	0.28	0.57	0.59	0.71	0.35	0.82	0.49	0.33	0.98	0.64	0.83	0.52	0.46	0.33	0.47	0.48	0.68	0.75	0.54	0.00	0.19	0.45	0.58	0.95	0.77	0.92	0.04	0.19	0.14	0.88	0.71	0.13	0.19	0.43	0.46	0.84	0.44	0.34	0.15	0.29	0.30	0.71	0.43	0.80	0.45	0.49	0.98	0.86	0.64	0.42	0.58	0.79	0.84	0.83	0.06	0.27	0.93
USP24	0.09	0.15	0.97	0.75	0.69	0.00	0.76	0.82	0.87	0.37	0.59	0.30	0.65	0.48	0.77	0.65	0.42	0.69	0.68	0.83	0.94	0.92	0.29	0.03	0.56	0.63	0.02	0.29	0.32	0.68	0.39	0.51	0.43	0.77	0.66	0.10	0.73	0.87	0.50	0.80	0.63	0.31	0.54	0.40	0.05	0.15	0.32	0.63	0.19	0.32	0.91	0.76	0.20	0.50	0.63	0.23	0.31	0.13	0.84	0.88	0.16	0.64	0.16	0.72	0.96
ANKRD57	0.17	0.52	0.47	0.01	0.52	0.94	0.90	0.54	0.72	0.14	0.27	0.92	0.87	0.01	0.60	0.98	0.83	0.20	0.85	0.67	0.69	0.80	0.56	0.83	0.24	0.10	0.95	0.48	0.07	0.55	0.18	0.88	0.98	0.59	0.30	0.81	0.17	0.90	0.45	0.55	0.83	0.09	0.15	0.59	0.36	0.30	0.89	0.27	0.40	0.97	0.57	0.58	0.08	0.39	0.42	0.75	0.36	0.23	0.42	0.32	0.49	0.46	0.44	0.01	0.86
ZCCHC11	0.28	0.06	0.93	0.57	0.21	0.36	0.43	0.66	0.77	0.60	0.26	0.60	0.14	0.19	0.65	0.24	0.69	0.70	0.91	0.08	0.89	1.00	0.37	0.83	0.04	0.42	0.24	0.31	0.07	0.97	0.28	0.54	0.64	0.26	0.27	0.55	0.36	0.62	0.54	0.59	0.03	0.40	0.51	0.98	0.23	0.15	0.84	0.10	0.45	0.60	0.73	0.85	0.57	0.79	0.73	0.73	0.43	0.10	0.11	0.91	0.78	0.13	0.85	0.23	0.88
AK148461	0.46	0.67	0.30	0.82	0.79	0.91	0.86	0.19	0.43	0.15	0.32	0.90	0.89	0.22	0.84	0.24	0.09	0.31	0.03	0.80	0.27	0.14	0.46	0.91	0.89	0.52	0.43	0.46	0.54	0.56	0.70	0.45	0.17	0.28	0.32	0.00	0.09	0.68	0.21	0.03	0.24	0.86	0.30	0.11	0.75	0.10	0.83	0.02	0.23	0.71	0.60	0.13	0.82	0.58	0.98	0.03	0.25	0.45	0.08	0.73	0.62	0.46	0.82	0.08	0.07
PDZK1IP1	0.68	0.45	0.30	0.32	0.13	0.01	0.84	0.52	0.61	0.71	0.47	0.89	0.92	0.90	0.53	0.47	0.12	0.61	0.08	0.33	0.16	0.63	0.84	0.77	0.51	0.66	0.50	0.85	0.82	0.26	0.94	0.40	0.15	0.38	0.84	0.13	0.79	0.91	0.39	0.37	0.27	0.59	0.87	0.98	0.62	0.94	0.84	0.24	0.86	0.24	0.64	0.37	0.72	0.96	0.52	0.99	0.51	0.45	0.60	0.26	0.67	0.13	0.15	0.60	0.51
RAD54L	0.12	0.95	0.81	0.46	0.26	0.63	0.08	0.07	0.61	0.47	0.73	0.88	0.42	0.98	0.37	0.47	0.73	0.34	0.44	0.04	0.83	0.87	0.68	0.34	0.20	0.25	0.71	0.55	0.80	0.62	0.16	0.38	0.05	0.68	0.48	0.48	0.12	0.75	0.86	0.22	0.90	0.79	0.79	0.86	0.29	0.92	0.14	0.36	0.32	0.75	0.97	0.59	0.82	0.87	0.62	0.22	0.27	0.54	0.50	0.83	0.94	0.97	0.90	0.40	0.87
MMACHC	0.22	0.89	0.18	0.95	0.07	0.60	0.73	0.93	0.27	0.57	0.24	0.03	0.38	0.98	0.13	0.79	0.70	0.09	0.41	0.59	0.13	0.25	0.19	0.25	0.34	0.44	0.42	0.23	0.88	0.63	0.29	0.92	0.08	0.73	0.02	0.10	0.06	0.84	0.90	0.47	0.15	0.44	0.94	0.91	0.32	0.17	0.37	0.90	0.10	0.93	0.17	0.62	0.24	0.08	0.83	0.82	0.58	0.00	0.84	0.22	0.93	0.71	0.32	0.71	0.77
PSAP	0.34	0.59	0.27	0.36	0.98	0.85	0.47	0.44	0.91	0.57	0.08	0.28	0.03	0.22	0.01	0.47	0.42	0.10	0.44	0.68	0.40	0.06	0.20	0.36	0.64	0.06	0.94	0.87	0.03	0.57	0.90	0.75	0.65	0.52	0.01	0.21	0.43	0.37	0.93	0.02	0.18	0.30	0.24	0.72	0.86	0.48	0.36	0.28	0.72	0.57	0.36	0.87	0.14	0.60	1.00	0.22	0.65	0.75	0.86	0.32	0.17	0.49	0.05	0.41	0.20
4632428N05RIK	0.53	0.58	0.13	0.41	0.38	0.95	0.36	0.95	0.17	0.73	0.96	0.52	0.03	0.89	0.06	0.94	0.09	0.73	0.79	0.17	0.59	0.16	0.58	0.28	0.06	0.16	0.89	0.71	0.57	0.32	0.59	1.00	0.90	0.44	0.43	0.39	0.85	0.31	0.57	0.87	0.89	0.51	0.56	0.30	0.33	0.19	0.37	0.40	0.17	0.83	0.41	0.47	0.03	0.64	0.37	0.41	0.92	0.16	0.33	0.24	0.49	0.88	0.90	0.18	0.37
ERMAP	0.99	0.45	0.79	0.37	0.38	0.25	0.17	0.77	0.62	0.42	1.00	0.52	0.92	0.98	0.24	0.35	0.29	0.46	0.67	0.80	1.00	0.64	0.05	0.71	0.64	0.92	0.85	0.95	0.30	0.23	0.02	0.17	0.91	0.59	0.98	0.53	0.69	0.64	0.49	0.30	0.50	0.79	0.08	0.94	0.20	0.87	0.56	0.04	0.42	0.24	0.14	0.91	0.17	0.86	0.90	0.66	0.81	0.59	0.01	0.73	0.77	0.32	0.94	0.45	0.84
SMAP2	0.78	0.77	0.67	0.72	0.38	0.10	0.83	0.59	0.58	0.78	0.21	0.98	0.25	0.66	0.53	0.17	0.85	0.61	0.66	0.19	0.40	0.10	0.02	0.18	0.27	0.54	0.59	0.08	0.57	0.27	0.64	0.93	0.76	0.20	0.57	0.66	0.49	0.07	0.91	0.73	0.34	0.26	0.02	0.83	0.42	0.50	0.19	0.31	0.98	0.81	0.62	0.95	0.64	0.70	0.83	0.11	0.67	0.72	0.91	0.31	0.40	0.59	0.08	0.30	0.58
MACF1	0.14	0.21	0.84	0.88	0.63	0.26	0.22	0.70	0.31	0.96	0.61	0.81	0.78	0.95	0.81	0.03	0.55	0.80	0.53	0.57	0.48	0.89	0.69	0.32	0.45	0.75	0.05	0.77	0.49	0.89	0.81	0.77	0.35	0.53	0.82	0.74	1.00	0.49	0.87	0.47	0.78	0.46	0.25	0.04	0.88	0.45	0.31	0.25	0.93	0.30	0.21	0.60	0.87	0.28	0.95	0.75	0.35	0.79	0.07	0.96	0.94	0.95	0.58	0.49	0.12
INPP5B	0.15	0.70	0.64	0.99	0.52	0.54	0.73	0.89	0.63	0.12	0.96	0.11	0.59	0.59	0.13	0.08	0.04	0.91	0.51	0.19	0.15	0.58	0.40	0.06	0.62	0.77	0.76	0.01	0.83	0.05	0.15	0.36	0.13	0.12	0.49	0.07	0.75	0.35	0.00	0.69	0.91	0.03	0.06	0.92	0.86	0.48	0.52	0.10	0.79	0.76	0.04	0.60	0.64	0.44	0.94	0.32	0.95	0.52	0.83	0.51	0.94	0.71	0.18	0.46	0.74
FTL2	0.94	0.77	0.51	0.32	0.75	0.39	0.19	0.29	0.98	0.09	0.68	0.15	0.20	0.01	0.62	0.95	0.19	0.08	0.59	0.43	0.42	0.67	0.84	0.58	0.36	0.03	0.96	0.04	0.11	0.51	0.15	0.59	0.00	0.25	0.38	0.40	0.86	0.45	0.63	0.99	0.75	0.77	0.69	0.45	0.93	0.17	0.63	0.77	0.68	0.52	0.12	0.66	0.82	0.07	0.84	0.28	0.73	0.13	0.65	0.09	0.79	0.75	0.55	0.86	0.26
TRAPPC3	0.75	0.80	0.06	0.59	0.64	0.64	0.30	0.86	0.98	0.04	0.48	0.61	0.17	0.86	0.88	0.13	0.05	0.94	0.41	0.69	0.65	0.57	0.93	0.36	0.81	0.17	0.82	0.15	0.95	0.19	0.12	0.82	0.93	0.79	0.65	0.89	0.18	0.99	0.36	0.03	0.17	0.66	0.46	0.44	0.91	0.53	0.90	0.61	0.33	0.69	0.20	0.62	0.03	0.40	0.95	0.34	0.26	0.82	0.59	0.65	0.68	0.59	0.55	0.25	0.22
SFPQ	0.93	0.01	0.38	0.04	0.02	0.81	0.89	0.63	0.11	0.63	0.58	0.95	0.81	0.99	0.34	0.95	0.73	0.74	0.51	0.84	0.43	0.48	0.70	0.09	0.20	0.44	0.26	0.76	0.55	0.09	0.72	0.86	0.75	0.09	0.15	0.20	0.50	0.22	0.51	0.52	0.33	0.43	0.84	0.72	0.07	0.04	0.68	0.30	0.99	0.57	0.09	0.18	0.18	0.19	0.69	0.44	0.48	0.70	0.80	0.61	0.57	0.43	0.69	0.57	0.26
PPA1	0.51	0.36	0.86	0.07	0.48	0.74	0.62	0.39	0.89	0.67	0.60	0.20	0.16	0.53	0.56	0.21	0.05	0.46	0.84	0.38	0.91	0.75	0.04	0.98	0.36	0.63	0.93	0.46	0.70	0.31	0.84	0.39	0.96	0.11	0.98	0.53	0.20	0.18	0.71	0.33	0.96	0.48	0.19	0.91	0.85	0.57	0.84	0.29	0.84	0.45	0.48	0.56	0.29	0.61	0.98	0.66	0.99	0.54	0.25	0.82	0.57	0.63	0.09	0.05	0.54
HDAC1	0.79	0.63	0.66	0.15	0.34	0.09	0.48	0.99	0.39	0.11	0.68	0.67	0.32	0.89	0.34	0.27	0.74	0.92	0.54	0.91	0.36	0.44	0.10	0.74	0.46	0.41	0.54	0.01	0.21	0.98	0.64	0.26	0.27	0.53	0.20	0.03	0.11	0.77	0.99	1.00	0.09	0.07	0.35	0.52	0.81	0.40	0.92	0.97	0.58	0.57	0.51	0.01	0.45	0.32	0.12	0.80	0.04	0.92	0.32	0.56	0.71	0.28	0.84	0.50	0.16
PTP4A2	0.72	0.67	0.06	0.85	0.17	0.73	0.23	0.97	0.42	0.20	0.49	0.45	0.47	0.40	0.41	0.90	0.25	0.73	0.18	0.56	0.07	0.45	0.14	0.97	0.48	0.71	0.85	0.92	0.12	0.51	0.20	0.56	0.30	0.58	0.74	0.00	0.27	0.70	0.36	0.53	0.36	0.11	0.70	0.23	0.44	0.97	0.90	0.61	0.65	0.25	0.61	0.78	0.33	0.86	0.24	0.28	0.06	0.07	0.53	0.20	0.28	0.01	0.02	0.55	0.73
LAPTM5	0.50	0.72	0.70	0.42	0.27	0.41	0.70	0.91	0.40	0.23	0.54	0.26	0.07	0.51	0.36	0.01	0.64	0.51	0.81	0.70	0.55	0.12	0.71	0.25	0.87	1.00	0.92	0.40	0.47	0.70	0.34	0.07	0.73	0.28	0.41	0.85	0.91	0.48	0.42	0.23	0.28	0.86	0.86	0.56	0.74	0.20	0.99	0.02	1.00	0.84	0.59	0.35	0.49	0.36	0.22	0.98	0.59	0.38	0.00	0.71	0.62	0.42	0.63	0.18	0.51
SNHG3	0.19	0.77	0.71	0.59	0.69	0.26	0.47	0.04	0.91	0.75	0.70	0.59	0.86	0.43	0.57	0.44	0.40	0.82	0.48	0.76	0.65	0.07	0.45	0.83	0.63	0.58	0.99	0.54	0.79	0.22	0.79	0.35	0.70	0.37	0.28	0.66	0.61	0.61	0.69	0.05	0.45	0.25	0.59	0.61	0.14	0.35	0.06	0.27	0.46	0.16	0.05	0.21	0.67	0.54	0.69	0.96	0.92	0.78	0.74	0.47	0.13	0.28	0.74	0.41	0.69
SMPDL3B	0.82	0.38	0.67	0.52	0.07	0.91	0.57	0.48	0.75	0.76	0.70	0.79	0.93	0.43	0.38	0.02	0.16	0.30	0.51	0.18	0.42	0.81	0.56	0.95	0.74	0.25	0.39	0.96	0.56	0.26	0.65	0.49	0.52	0.37	0.15	0.83	0.12	0.68	0.38	0.59	0.33	0.56	0.28	0.64	0.01	0.27	0.37	0.77	0.08	0.04	0.77	0.59	0.29	0.82	0.39	0.52	0.72	0.75	0.83	0.00	0.90	0.77	0.88	0.52	0.14
TMEM222	0.68	0.35	0.24	0.78	0.79	0.03	0.70	0.53	0.35	0.69	0.35	0.49	0.73	0.21	0.50	0.09	0.77	0.93	0.95	0.72	0.43	0.66	0.26	0.86	0.72	0.94	0.24	0.58	0.95	0.22	0.85	0.21	0.94	0.23	0.79	0.95	0.39	0.78	0.36	0.13	0.35	0.82	0.52	0.72	0.82	0.59	0.20	0.91	0.02	0.96	0.07	0.21	0.89	0.93	0.04	0.12	0.52	0.10	0.33	0.12	0.95	0.62	0.09	0.81	0.86
ARID1A	0.88	0.10	0.36	0.09	0.01	0.22	0.27	0.78	0.61	0.82	0.69	0.89	0.41	0.70	0.46	0.43	0.93	0.82	0.51	0.38	0.98	0.28	0.64	0.22	0.03	0.69	0.14	0.22	0.89	0.67	0.87	0.27	0.01	0.42	0.02	0.53	0.53	0.76	0.71	0.98	0.52	0.01	0.38	0.23	0.02	0.02	0.14	0.93	0.59	0.95	0.11	0.77	0.91	0.58	0.29	0.25	0.28	0.49	0.72	0.94	0.17	0.70	0.46	0.37	0.04
HK1	0.45	0.50	0.34	0.89	0.22	0.53	0.47	0.81	0.38	0.84	0.10	0.10	0.30	1.00	0.57	0.69	0.52	0.86	0.38	0.04	0.64	0.09	0.16	0.74	0.30	0.07	0.26	0.10	0.70	0.36	0.08	0.17	0.92	0.89	0.42	0.71	0.90	0.95	0.99	0.43	0.53	0.96	0.99	0.67	0.55	0.94	0.01	0.09	0.76	0.41	0.34	0.92	0.39	0.19	0.12	0.25	0.60	0.55	0.73	0.12	0.06	0.71	0.68	0.84	0.09
D4WSU53E	0.90	0.76	0.79	0.29	0.18	0.26	0.18	0.85	0.55	0.32	0.84	0.60	0.03	0.03	0.61	0.09	0.65	0.18	0.85	0.67	0.70	0.12	0.98	0.62	0.53	0.56	0.10	0.20	0.50	0.99	0.39	0.29	0.64	0.58	0.59	0.70	0.61	0.06	0.07	0.94	0.32	0.87	0.13	0.46	0.61	0.92	0.24	0.96	0.13	0.12	0.05	0.52	0.47	0.27	0.22	0.75	0.46	0.90	0.99	0.66	0.60	0.00	0.93	0.26	0.62
